date,vehicle,weight
2017-04-24,14,6.24
2017-04-25,15,3.26
2017-04-25,13,8.66
2017-04-25,15,8.58
2017-04-25,13,6.34
2017-04-25,14,3.44
2017-04-26,14,9.8
2017-04-26,15,4.96
2017-04-26,13,6.1
2017-04-26,15,9.42
2017-04-26,14,4.66
2017-04-27,14,3.24
2017-04-27,15,7.45
2017-04-27,13,6.28
2017-04-27,15,8.85
2017-04-27,14,9.32
2017-04-28,13,8.32
2017-04-28,15,9.43
2017-04-28,14,5.06
2017-04-28,14,7.32
2017-04-28,15,4.4
2017-05-01,15,7.2
2017-05-01,13,6.28
2017-05-01,14,7.06
2017-05-01,13,9.7
2017-05-01,14,10.1
2017-05-01,2,1.7
2017-05-02,14,3.6
2017-05-02,15,10.3
2017-05-02,15,6.9
2017-05-02,13,9.42
2017-05-02,14,9.66
2017-05-02,13,8.75
2017-05-03,15,5.27
2017-05-03,13,7.16
2017-05-03,14,8.52
2017-05-04,15,9.2
2017-05-04,13,9.8
2017-05-04,14,9.08
2017-05-04,15,1.62
2017-05-05,17,2.01
2017-05-05,15,4.6
2017-05-05,1,4.8
2017-05-05,8,4.8
2017-05-05,14,6.14
2017-05-05,15,11.02
2017-05-08,2,1.6
2017-05-08,1,1
2017-05-08,14,10.18
2017-05-08,13,7.88
2017-05-09,14,4.36
2017-05-09,15,5.44
2017-05-09,15,8.76
2017-05-09,13,9.7
2017-05-09,13,5.8
2017-05-10,14,7.72
2017-05-10,17,9.26
2017-05-10,14,4.1
2017-05-10,13,9.8
2017-05-11,13,9.1
2017-05-11,15,8.22
2017-05-11,13,1.16
2017-05-11,14,9.26
2017-05-11,14,2.56
2017-05-12,14,9.98
2017-05-12,14,6.74
2017-05-15,14,6.52
2017-05-15,15,9.26
2017-05-15,14,9.56
2017-05-16,14,4.1
2017-05-16,15,4.02
2017-05-16,13,6.68
2017-05-16,15,10.14
2017-05-16,14,8.92
2017-05-16,13,9.38
2017-05-17,13,7.8
2017-05-17,15,7.7
2017-05-17,14,8.66
2017-05-18,13,8.87
2017-05-18,15,9.2
2017-05-18,14,2.48
2017-05-18,14,9.64
2017-05-19,14,9.88
2017-05-19,15,10.2
2017-05-19,13,7.24
2017-05-19,14,1.96
2017-05-22,13,9.34
2017-05-22,15,10.5
2017-05-22,14,9.3
2017-05-22,15,1.7
2017-05-23,15,8.16
2017-05-23,14,3.64
2017-05-23,13,4.58
2017-05-23,13,9.1
2017-05-23,14,9.46
2017-05-24,14,1.34
2017-05-24,14,8.92
2017-05-24,13,9.26
2017-05-24,13,2.58
2017-05-24,15,9.01
2017-05-25,14,8.98
2017-05-25,13,9.32
2017-05-25,13,7.86
2017-05-25,14,6.26
2017-05-26,8,3.1
2017-05-26,13,2.06
2017-05-26,14,2.86
2017-05-26,13,9.88
2017-05-29,13,4.42
2017-05-29,13,8.42
2017-05-29,14,3.78
2017-05-29,14,9.6
2017-05-30,15,2.17
2017-05-30,13,5.64
2017-05-30,14,3.24
2017-05-30,15,9.5
2017-05-30,14,9
2017-05-30,13,10.18
2017-05-31,15,5
2017-05-31,14,5.6
2017-05-31,13,7.34
2017-06-01,13,7.74
2017-06-01,15,1.6
2017-06-01,15,8.5
2017-06-01,14,9.56
2017-06-02,13,8.84
2017-06-02,15,9.9
2017-06-02,14,9.1
2017-06-05,14,6.26
2017-06-05,15,2.7
2017-06-05,15,9.5
2017-06-06,14,9.38
2017-06-06,13,6.72
2017-06-06,15,8.8
2017-06-06,15,4.9
2017-06-06,14,4.64
2017-06-06,13,8.69
2017-06-07,14,7.12
2017-06-07,13,7.52
2017-06-07,15,4.1
2017-06-07,15,9.4
2017-06-08,13,1.908
2017-06-08,15,8.6
2017-06-08,13,8.08
2017-06-08,14,5.4
2017-06-08,15,1
2017-06-09,15,7.9
2017-06-09,14,8.78
2017-06-09,13,8.82
2017-06-09,14,1.22
2017-06-12,14,3.94
2017-06-12,20,0.6
2017-06-12,15,8.5
2017-06-12,14,8.98
2017-06-12,15,3.9
2017-06-12,15,8.96
2017-06-13,13,8.12
2017-06-13,15,2.6
2017-06-13,14,7.66
2017-06-13,13,5.8
2017-06-13,15,9.6
2017-06-13,14,4.1
2017-06-14,15,6.2
2017-06-14,14,6.2
2017-06-14,13,7.36
2017-06-15,14,7.1
2017-06-15,13,0.94
2017-06-15,15,8.4
2017-06-15,13,10.92
2017-06-16,14,7
2017-06-16,13,9.76
2017-06-16,13,2.1
2017-06-19,13,8.38
2017-06-19,14,7.1
2017-06-20,14,8.26
2017-06-20,13,3.04
2017-06-20,13,7.46
